player,runs,balls_faced,fours,sixes,dismissals,matches,strike_rate,boundary_pct,avg,runs_conceded,legal_balls,wickets,dot_balls,overs,economy,dot_pct,batting_impact,bowling_impact,pii,role,fantasy_points
TL Seifert,24.0,21.0,4.0,0.0,2.0,2.0,114.29,19.05,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.086999999999996,40.0,44.25,Bowler,24.0
TS Mills,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,192.0,100.0,6.0,35.0,16.7,11.52,35.0,0.0,12.872222222222224,5.15,Bowler,165.5
TU Deshpande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,41.0,1.0,19.0,6.8,9.8,46.34,0.0,13.749632653061225,5.5,Batsman,34.5
Tilak Varma,397.0,313.0,29.0,16.0,10.0,14.0,126.84,14.38,39.7,13.0,12.0,0.0,5.0,2.0,6.5,41.67,245.552,14.487846153846156,153.13,All-Rounder,544.5
UT Yadav,55.0,41.0,4.0,4.0,4.0,7.0,134.15,19.51,13.75,354.0,280.0,16.0,151.0,46.7,7.59,53.93,69.345,22.45609222661397,50.59,All-Rounder,542.5
Umran Malik,4.0,8.0,0.0,0.0,1.0,4.0,50.0,0.0,4.0,455.0,285.0,23.0,157.0,47.5,9.58,55.09,17.0,24.393365344467643,19.96,Bowler,655.5
V Kohli,341.0,306.0,32.0,8.0,16.0,16.0,111.44,13.07,21.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.932,40.0,143.16,All-Rounder,453.0
V Shankar,19.0,36.0,1.0,0.0,4.0,4.0,52.78,2.78,4.75,15.0,9.0,1.0,5.0,1.5,10.0,55.56,25.534,15.512000000000002,21.53,Batsman,39.5
VG Arora,5.0,14.0,0.0,0.0,2.0,4.0,35.71,0.0,2.5,165.0,106.0,4.0,42.0,17.7,9.34,39.62,13.213,13.806655246252676,13.45,Batsman,122.0
VR Aaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,29.0,2.0,10.0,4.8,10.97,34.48,0.0,11.34230811303555,4.54,Batsman,55.0
VR Iyer,182.0,175.0,17.0,7.0,11.0,12.0,104.0,13.71,16.55,46.0,24.0,0.0,3.0,4.0,11.5,12.5,127.0,5.978260869565217,78.59,Batsman,232.5
WP Saha,317.0,266.0,40.0,7.0,9.0,11.0,119.17,17.67,35.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.651,40.0,138.19,All-Rounder,449.0
Washington Sundar,101.0,76.0,9.0,3.0,7.0,7.0,132.89,15.79,14.43,239.0,168.0,6.0,48.0,28.0,8.54,28.57,92.767,12.79784074941452,60.78,All-Rounder,308.0
YBK Jaiswal,258.0,198.0,28.0,10.0,10.0,10.0,130.3,19.19,25.8,6.0,1.0,0.0,0.0,0.2,36.0,0.0,175.69,1.1111111111111112,105.86,Batsman,358.0
YS Chahal,5.0,8.0,0.0,0.0,1.0,1.0,62.5,0.0,5.0,536.0,399.0,29.0,158.0,66.5,8.06,39.6,21.25,24.482779156327545,22.54,Bowler,807.0
Yash Dayal,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,296.0,192.0,13.0,87.0,32.0,9.25,45.31,0.0,18.586324324324327,7.43,Bowler,366.5
